"RestaurantID";"City";"HotelName";"HotelTele";"HotelAddress";"RestaurantName";"RestaurantTele";"RestaurantAddress";"RestaurantOpenTime";"Introduction";"Price";"Park";"Smoke";"Location"
1;"北京";"北京王府井希尔顿酒店";"010-5812 8888";"北京市东城区王府井东街8号";"秦唐中餐厅";" 58128888-8411 58128888-8417";"王府井东街8号王府井希尔顿酒店5楼";"11:30 - 14:30，17:30 - 22:00";"作为北京高端专属私人餐厅之一，北京王府井希尔顿酒店秦唐中餐厅，带给客人以最舒适的服务享受。取材于中国历史的大幅壁画给餐厅带来了王宫别院般的视觉效果，造型别致的人性化不锈钢围栏也为宾客提供更多私密性，同时也与四周陈列着的壁画和中式古董相映成趣，构成一个令人心静如水的古朴空间。如此优雅的环境在和传统的古典贵族风格与非凡设计理念及美味佳肴融为一体时，餐厅中的贵族气息，宁谧，纯朴，令您从此对尊贵服务有了新的定义。 您可以选择四间古朴典雅的私人包厢风、生、水、起品尝美味，我们的中餐厨师为您度身定制菜单，营造个性化的用餐体验。配上定制的桌椅家具、巨幅玻璃窗，整个包厢好似一个华丽的古典舞台，这样的就餐体验定会让您难以忘怀。秦唐中餐厅还设有无线上网服务，随时化身成为您的流动办公室。让您在用餐的同时也可以轻松掌握身边的一切信息。每日午餐 | 上午11:30至下午 2:30每日晚餐 | 傍晚 5:30至晚上10:30(晚上10:00为每日最后点餐时间) 餐厅菜单";"244";"";"";0
2;"北京";"北京王府井希尔顿酒店";"010-5812 8888";"北京市东城区王府井东街8号";"焰吧扒房";" 010-58128888";"王府井东街8号王府井希尔顿酒店5楼";"18:00 - 22:30";"焰吧扒房让您在高雅的氛围中品味当代欧式美食经典，同时可透过落地窗俯瞰新老北京的历史与繁华。扒房提供谷物饲养的澳大利亚进口有机牛肉和最新鲜的加拿大海鲜，完美搭配酒店内屡获殊荣的美酒河窖藏的年份葡萄酒，成为王府井地区不可错过的美食新体验。 位于北京王府井希尔顿酒店五层，毗邻焰吧，扒房有着低调又不失优雅的环境，在极具现代感的氛围中透过宽大的落地玻璃窗，古老北京的格调即刻映入您的眼帘，让您感受完美的用餐体验。私密舒适的餐厅可提供36个雅座，分成两个独立的部分。我们的厨师团队以精心挑选的食材，结合精湛的厨艺，竭诚为您带来一次无与伦比的西式餐饮体验。菜单不仅包含各式俱全的上等进口牛排、新鲜海鲜及特色西班牙海鲜饭，丰富多样的餐前小吃及美味甜品也不容错过。每日晚餐 | 傍晚 18:00至晚上10:30餐厅菜单";"472";"";"";0
3;"北京";"北京王府井希尔顿酒店";"010-5812 8888";"北京市东城区王府井东街8号";"万斯阁西餐厅";" 58128888-8412";"王府井东街8号北京王府井希尔顿酒店5楼";"06:30 - 22:30。自助早餐06:30 - 10:30；自助午餐11:30 - 14:30；自助晚餐17:30 - 21:30。";"万斯阁餐厅设计定位于北京最具异国风情和独具个性的美食港口，提供令人放松愉悦的早、中、晚餐和欣赏炫目北京美景的优雅环境。这里拥有140个独具古老澳门特色的座位及开放式厨房，方便客人在享受美味早餐的同时又可欣赏到美食制作的美妙过程。 万斯阁餐厅的出品结合了Hilton无懈可击的高标准餐饮要求及创新餐饮理念。室内设计风格灵感取自旧时澳门的静谧风情，设计表现手法严谨细腻，一如希尔顿品牌的一贯标准。 万斯阁西餐厅的食谱称得上是一幅精美绝伦的全球精粹美食长卷，款款美味极具地域特色和时令特点，将清淡，健康，香嫩诱人等美妙口感巧妙地融入到了每道佳肴。 万斯阁由享誉全球的Wilson公司设计，其在餐厅环境设计领域颇有建树。设计总监Dan Kwan 将其创新的设计理念融入万斯阁餐厅的设计之中，""我希望能为新一代就餐者创造一个全新的餐饮理念，一处可任所有感官惬意放松的海边氛围。"" 质感雅致的桌面，宽阔的玻璃窗，灰色大理石花纹地面，独特的起绒粗呢面料和白色水洗木天花板，营造出万斯阁开放、优雅、精致的感觉。每日早餐 | 凌晨 6:30至上午10:30每日午餐 | 上午11:30至下午 2:30每日晚餐 | 傍晚 5:30至晚上11:00(晚上10:30为每日最后点餐时间)周日早午餐 | 每周日12:00至下午3:00  餐厅菜单";"297";"";"";0
4;"北京";"北京王府井希尔顿酒店";"010-5812 8888";"北京市东城区王府井东街8号";"书阁";" 58128888-8406";"王府井东街8号王府井希尔顿酒店1楼";"尚无营业时间";"小憩于北京最为惬意舒适的大堂酒廊，恍若置身于您的一处私家寓所。林立的书墙，温暖的壁炉，不尽的美食！ 招牌的“书阁下午茶套餐”巧妙的将传统英式下午茶的英式松饼配奶油，3款精选的迷你三明治，自制的蓝莓芝士蛋糕，层次丰富的奶油传统千层酥以及柠檬罗勒挞配酥皮派巧妙的呈现在中式圆形镂空的架子中，再配以中式的极品茶叶，定会让您的下午茶体验与众不同！ 甜食控们一定不能错过“巧克力下午茶套餐”，仿佛回到了儿时的记忆，让您的一整都天充满甜蜜！热呼呼的巧克力英式松饼配上诱人的草莓酱以及新鲜奶油，是不是感觉就好像自家里妈妈亲手做的一样？如果在品尝了一系列传统巧克力气鼓条等巧克力美味后，还有酒店创新的巧克力花椒挞和巧克力罗勒马卡龙等待着您的大胆尝试！ 当然，我们还特意为想保持完美身材及注重健康的客人们定制了“健康下午茶套餐”。其中大厨推荐的要数“燕麦蓝莓英式松饼配无糖番茄酱”;以及三款健康美味的三明治了，用低脂的燕麦酸奶或坚果条代替了高热量的甜品，让您尽情无忧的享受下午茶的完美时光！ 当然除了下午茶套餐，在书阁还有各式各样的小点心供您选择，搭配上经典的卡布奇诺或是自制冰爽鸡尾酒，温情惬意尽在其间。每日 | 上午8:00至晚上10:00 餐厅菜单";"68";"";"";0
5;"北京";"北京王府井希尔顿酒店";"010-5812 8888";"北京市东城区王府井东街8号";"美酒河";"";"";"";"无酒不成宴，没有好酒怎堪行？北京最大的酒窖“美酒河”，藏身于北京王府井希尔顿酒店，精选500余种来自全球不同品牌的近万瓶葡萄酒，随意搭配各式佳肴美味。 ";"";"";"";0
6;"北京";"北京王府井希尔顿酒店";"010-5812 8888";"北京市东城区王府井东街8号";"焰吧";" 010-58128888";"王府井东街8号王府井希尔顿酒店5楼";"18:00 - 22:30";"除了舒适优雅的环境氛围，这个私密暧昧的酒吧就如同它的名字火焰一样，将精彩呈现今夏的火热。 焰吧拥有极佳的地理位置，它与万斯阁西餐厅和秦唐中餐厅坐落于同一楼层，绝对是一个茶前或饭后的理想去所。焰吧拥有精美的大理石墙壁，光滑的木质地板，一个引人注目的线性壁炉点亮了整个空间。这里还提供充满创意的便餐，还有一个专业团队为客人娴熟地调制鸡尾酒。葡萄酒鉴赏家可以从美酒河挑选出自己最喜欢的一瓶，美酒河里拥有500多个品牌上万瓶藏酒，供客人任意选择。 忙碌一天后，何不来此浅酌小饮，在音乐中舒缓身心，度过美妙的夜晚。让我们相约北京希尔顿王府井酒店的焰吧！每日 | 傍晚6:00至凌晨1:00";"472";"";"";0
7;"北京";"北京希尔顿酒店";"010-58655000";"中国北京市朝阳区东三环北路东方路1号";"东方路一号";" 010-58655030";"东三环北路东方路1号希尔顿饭店2楼";"午餐12:00至14:30 晚餐18:00至22:30";"酒店的特色美式餐厅“东方路一号”，重新定义了源自美国的现代烹调，餐厅环境亲切，温馨，弥漫着一种怀旧感，令人想起最初的路易斯安娜餐厅里那种美国南方宅第的室内装修风格。餐厅供应世界各地的品牌葡萄酒，在京城首屈一指，您可在品酒师的推荐下品味享用。餐厅的两个别致包间，是商务、家庭聚会的理想场所。 东方路一号零点菜单东方路一号甜点菜单 营业时间：午餐周一至周五、周日：12:00pm - 14:30pm晚餐周一至周日：18:00pm - 22:30pm 预订电话：010-58655030 ";"307";"";"";0
8;"北京";"北京希尔顿酒店";"010-58655000";"中国北京市朝阳区东三环北路东方路1号";"元素阁";" 010-58655020";"东三环北路东方路1号希尔顿酒店2楼";"全天营业";"开放式厨房餐厅，集中亚洲各式精致佳肴。各种烹调手段一应俱全，如烘、烤、蒸、煮、焙、炸等。富有时代气息的现场厨房概念使顾客有机会观看厨师现场运用包括金、木、水、火、土等元素来创造时尚一流的亚洲佳肴。 元素阁零点菜单 营业时间：早餐 周一至周五 6:00am - 10:00am周六和周日 6:00am - 11:00am午餐 周一至周五 11:30am - 2:30pm周六和周日 12:00pm - 2:30pm晚餐 周一至周五 6:00pm - 10:00pm 预订电话：010-58655020";"234";"";"";0
9;"北京";"北京希尔顿酒店";"010-58655000";"中国北京市朝阳区东三环北路东方路1号";"颐达吧";" 010-58655050";"东三环北路东方路1号北京希尔顿酒店2楼";"17:00至02:00";"格调幽雅的颐达吧为您营造私密且舒适的环境，提供各式精选的葡萄酒、香槟及招牌鸡尾酒。无论是与朋友度过轻松愉悦的夜晚，亦或寻觅志同道合之新识，颐达吧能带给您无尽享受。 颐达吧酒单  营业时间：18:00pm - 2:00am预订电话：010-58655050";"113";"";"";0
10;"北京";"北京希尔顿酒店";"010-58655000";"中国北京市朝阳区东三环北路东方路1号";"汤尼酒廊";" 010-64618368";"东三环北路东方路1号希尔顿酒店1楼";"10:00-21:00";"位于大堂的酒廊每日营业至深夜。前卫，舒适的大堂酒吧为您提供五星级的饮品及服务，轻柔的北京音乐让您感觉更加惬意，是紧张繁忙的一天后充分放松自己的最佳选择。 汤尼酒廊Menu 营业时间：11:00am - 00:30am预订电话：010-58655060";"";"";"";0
11;"北京";"北京希尔顿酒店";"010-58655000";"中国北京市朝阳区东三环北路东方路1号";"咖啡基诺";" 010-58655070";"东三环北路东方路1号希尔顿酒店内";"尚无营业时间";"位于酒店大堂的甜点角，提供新鲜冲制的各种咖啡、芬芳的清茶、自制的甜点、蛋糕、巧克力、新鲜出炉的面包，以及新鲜制作的沙拉和各式三明治。宾客既可以在此休闲地享用，也可以选择打包带走。  咖啡基诺Menu 营业时间：6:30am - 22:00pm预订电话：010-58655070";"63";"";"";0
12;"北京";"北京首都机场希尔顿酒店";"010-6458 8888";"中国北京市首都机场三号航站楼三经路1号";"东西风扒房";" 64588888-8101 010-64504784";"首都机场3号航站楼希尔顿酒店1楼";"17:30 - 23:00";"步入东西风扒房，您会立刻感受到味蕾燃烧的快感。 多种顶级肉类食材和新鲜海鲜一一登场，为您奉上极致美味：正宗牛排、北京烤鸭、日式铁板烧、印度唐杜里风味烧烤美食，均由专业厨师为您现场烹饪。 举杯欢饮，您可品味经典鸡尾酒，或挑选您中意的葡萄酒。餐厅中央的葡萄酒窖，亦是别有特色的包间，与其他四间私密包房一起为您提供无限愉悦的味觉体验。营业时间：周一至周六 17:30 - 21:30位置：首都机场希尔顿酒店 一层预订电话：86 10 64504784";"351";"";"";0
13;"北京";"北京首都机场希尔顿酒店";"010-6458 8888";"中国北京市首都机场三号航站楼三经路1号";"腾香居";" 64588888-8901 010-64504889";"三经路首都机场3号航站楼希尔顿酒店2楼";"午餐：11:30 - 14:30 晚餐：17:00 - 22:00";"‍‍来到古意浓浓的腾香居，一场融合川菜与湘菜之美的辣味冒险旅程正在等待您。所有美食全部由来自当地的厨师掌勺，家常式的烹饪技艺及有机食材的选择，保证口味绝对地道。所有辣味菜品都有三个级别供您挑选，更贴心地为独自用餐的食客准备了特色套餐。餐厅精心准备了顶极中国茶叶，手艺高超的茶艺师傅将为您现场展示最为精湛的茶道技艺。13间典雅气派的包厢，为你带来私密和温馨享受。‍‍营业时间：11:30 - 14:30                        17:30 - 22:00位置：首都机场希尔顿酒店 二层预订电话：86 10 64504889";"207";"";"";0
14;"北京";"北京首都机场希尔顿酒店";"010-6458 8888";"中国北京市首都机场三号航站楼三经路1号";"粤尚";" 010-64504888";"首都机场3号航站楼希尔顿酒店2楼";"午餐：11:30-14:30 晚餐：17:30-22:00";"‍‍从早茶系列美味小点，到作工精湛的宴会菜式，从世界各地的优选鲍鱼，到港式烧鸭、创新鹅肝菜式及神户牛肉，各式粤菜美食一定令您大开眼界，爱不释口。享受至尊美味之时，您还可赏茶品红酒，坐拥悠尚时光。13间包房，最大一间可同时容纳24位客人就餐，适合各类聚会活动。‍‍营业时间：11:30 - 14:30       17:30 - 22:00位置：首都机场希尔顿酒店 二层";"350";"";"";0
15;"北京";"北京首都机场希尔顿酒店";"010-6458 8888";"中国北京市首都机场三号航站楼三经路1号";"龙吧";" 010-64504799";"首都机场3号航站楼希尔顿酒店1楼";"16:00 - 1:00";"‍‍‍‍‍‍‍‍‍‍50米长的吧台让宽敞的空间呈现另类的个性，绝妙的L形设计犹若蛟龙游弋，将空间隔为静谧与动感两派天地。一边的静谧的雪茄廊，另一边则是充满活力的音乐和台球桌，随您自在享受。我们拥有魔术师般的专业调酒师，为您调制出经典口味或拉丁风情鸡尾酒，您亦可选择麦芽威士忌，陈年朗姆酒，白兰地或葡萄酒（包括中国最优质的陈年葡萄酒）‍‍。轻呡一杯拉丁风味的鸡尾酒、生啤或精选葡萄酒，在这里度过只属于您的悠闲时光‍‍。‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍营业时间：16:00 - 1:00位置：首都机场希尔顿酒店 一层预订电话：86 10 64504799";"-";"";"";0
16;"北京";"北京首都机场希尔顿酒店";"010-6458 8888";"中国北京市首都机场三号航站楼三经路1号";"焦点";" 64588888-8201";"首都机场3号航站楼希尔顿酒店1楼";"24小时";"三五好友，把盏言欢，在9米挑高的大堂，来几分美味的小点，或调整时差，或小憩片时，乏味的旅途顿生别样的时尚。预订电话：86 10 64504823下午茶随欣享 ";"-";"";"";0
17;"北京";"北京首都机场希尔顿酒店";"010-6458 8888";"中国北京市首都机场三号航站楼三经路1号";"360°全日餐厅";" 010-64504788";"首都机场3号航站楼希尔顿酒店1楼";"5:30-23:00全天零点服务";"‍‍360°餐厅全天供应世界各国正宗菜系，令您尽享轻松舒适。无论是泛亚太美食，还是地中海风味，全部由专业厨师为您精心烹饪，让您随时随地欣赏他们的精湛手艺。更有特色甜品任您选择，自制美味冰淇淋搭配现定现制的soufflés蛋奶酥和法式鸡蛋薄饼，口感绝对美不胜收。如您刚刚入埠，可在此品赏一杯特制健康凉茶或鲜榨果饮，舒缓疲劳，调整时差。品酒高手亦可从两层酒窖中挑选一瓶您最爱的陈年美味葡萄酒。‍‍营业时间：5:30 - 23:00 位置：首都机场希尔顿酒店 一层预订电话：86 10 64504788 ";"231";"";"";0
18;"北京";"北京华尔道夫酒店";"86-10-85208989";"北京市东城区金鱼胡同5-15号";"荣尊1893";" 010-85208989";"金鱼胡同5-15号华尔道夫酒店1F";"早餐：6:00 –10:30午餐：11:30 –15:00晚餐：17:30 –22:30";"荣尊1 8 9 3 选用上等食材， 为宾客提供精致独到的国际美食， 设有可供8 人用餐的展示包间。餐厅中的主焦点就是厨师们展示高超厨艺的开放式厨房，在这里厨师们与宾客亲密交流，让人们近距离感受烹饪艺术之美地点：一楼 羿庭（孔雀廊）旁营业时间：上午6:30 - 上午10:30（早餐）上午11:30 - 下午2:30（午餐）下午5:30 - 晚上10:30（晚餐）席位数：70席着装要求：休闲正装、商务装详情或预订请致电：+86（10）8520 8989  转 6115 ";"333";"";"";0
19;"北京";"北京华尔道夫酒店";"86-10-85208989";"北京市东城区金鱼胡同5-15号";"羿庭（孔雀廊）";"";"";"";"无论是寻找美味便餐，还是以酒会友或共品下午茶，或仅仅是为了在睡前小酌一杯，我们的酒廊 羿庭（孔雀廊） 将成为城中热议焦点与心之所选。摩登雅致的羿庭（孔雀廊）是对纽约华尔道夫酒店同名餐厅的另一种演绎，为宾客们奉上美食佳酿的享受。这间高档酒廊将华尔道夫的经典氛围与清新明朗的现代风格谱就成一曲华美乐章。购物间隙来此吃顿便饭，小憩片刻；亦可以邀约几位好友来此共享下午茶时光，或与您的客户进行一场非正式的商务会面。华尔道夫的特色菜肴定将让所有宾客享受到愉悦体验。羿庭（孔雀廊）保留着贵族、名媛展示华丽风姿的社交场所独有的文化传承，是北京精致品位生活的瞩目之地。地点：酒店一楼入口旁营业时间：上午7:00 - 次日凌晨12:00席位数：66席着装要求：商务装、休闲正装详情或预订请致电：+86（10）8520 8989 转 6109";"";"";"";0
20;"北京";"北京华尔道夫酒店";"86-10-85208989";"北京市东城区金鱼胡同5-15号";"紫金阁";" 010-85208989";"金鱼胡同5-15号3楼";"午餐：11:30–14:30晚餐：17:30 –22:30";"紫金阁是一家以纯正粤菜及北京名菜为特色的中餐厅，内设5间私人包厢，其中最大的一间可容纳24人就餐，大厅可同时款待40位宾客。地点：酒店主楼三楼营业时间：午餐：上午11:30 - 下午2:30晚餐：下午5:30 - 晚上10:00席位数：114席，5间私人包厢着装要求：商务装、休闲正装详情或预约请致电：+86（010）8520 8916餐厅菜单";"254";"";"";0
21;"北京";"北京康莱德酒店";"010-6584 6000";"中国北京市朝阳区东三环北路29号";"廿九閣";" 010-65846000 010-65846300";"东三环北路29号康莱德酒店2楼";"午餐：11:30am-14:30pm 晚餐：18:00pm-22:00pm";" 廿九閣是品尝众多优质海鲜、碳烤美味和各种风味肉食的完美选择。时尚而奢华的空间令人倍感尊崇。庞大酒窖，珍藏着来自世界各地的各色美酒，供宾客尽情享用。此外，餐厅还有一间私人餐室和休闲酒吧，无论是正式晚宴或休闲小聚都能尽情兴。廿九閣为宾客提供京城稀缺的世界级优质奶酪和冷切肉类等精选美味，意大利帕尔马风干火腿、西班牙伊比利亚风干猪后腿、意大利风干萨拉米肠及蜂蜜猪腩肉和众多西式扒类等，还有在酒窖中甄选的陈年佳酿相伴，为喜爱肉类与品酒的男士或是真我个性的女士打造独具一格的就餐体验。精选特惠128元商务午餐三道菜式的商务午间套餐，每位仅需128元+15%服务费，另加35元更享一杯软饮和咖啡或茶。 营业时间：午餐 星期一至星期六 11:30-14:30晚餐 星期一至星期六 18:00-22:00 餐厅负责人：Felix Li预定电话：010 65846300 餐厅菜单餐厅优惠";"316";"";"";0
22;"北京";"北京康莱德酒店";"010-6584 6000";"中国北京市朝阳区东三环北路29号";"陆羽";" 010-65846290";"东三环北路29号北京康莱德酒店1楼";"11:30-22:00";"陆羽中餐厅占据了两层楼的空间。宏伟的入口以高耸的墙面为特色，其中镶嵌着一罐罐来自中国各个地区的不同茶叶，令人叹为观止。餐厅聘请北京最一流的厨师为客人打造纯正的本地特色菜式，不仅风味独特、令人垂涎，更有着宛如艺术品一般的创意呈现方式。 餐厅共有九间包房和一个开放区域，包房分别坐落在两层楼上，有专设的电梯往返于一楼与二楼之间，让客人倍感无微不至的服务。每间包房都设有独立的洗手间，其中三间配有私人厨房，为宾客营造出私密而又尊贵的氛围。宾客可选择就坐于高雅的开放区域，亦可在容纳20人的私人包房与亲朋欢聚，同时观赏厨师在开放式厨房中现场烹调。 陆羽餐厅以茶圣之名命名，暖色调的主格调加入刺绣，青瓷等元素，尽显高雅低调。各式香茗如茉莉龙珠、碧螺春、宫廷普洱和人参乌龙等让宾客在品茗茶香时清心养性。传统的京式菜肴及粤式美味让宾客沉浸在尽显中国饮食文化的饕餮盛宴中。 营业时间： 午餐   星期一至星期五 11:30-14:00              星期六至星期日 11:30-15:00晚餐   星期一至星期日 17:30-22:00          餐厅经理：Mirko Sun预定电话：010.65846290                   餐厅优惠";"176";"";"";0
